split,sample_id,scene_id,dy_lr_raw,dx_lr_raw,magnitude_raw,peak_zncc,peak_margin,secondary_dy,secondary_dx,primary_secondary_diff,boundary_hit,accepted,dy_lr_applied,dx_lr_applied,estimator_version,source_file_hash
fr,0,0,0.3511466551975036,-0.34122420143664045,0.4896304005088608,0.7896623794332394,0.06629605268099681,0.3354239839438034,-0.18877823957861817,0.15325460410104982,False,True,0.3511466551975036,-0.34122420143664045,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,1,1,0.3523243464807366,0.11039454057467282,0.3692145713697812,0.950658062680554,0.04295571558737021,0.41512915129151257,-0.08426966292134815,0.20454484992309127,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,2,2,0.4008731345238647,-0.27642140555290146,0.48693743276814333,0.8098873882725413,0.04509398453583169,0.3534717851898469,-0.11087930176472838,0.17219487810414064,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,3,3,0.28346056273687403,0.007989978032191616,0.283573148192949,0.6432130334779527,0.14757184606693835,0.319101336876644,-0.027970719128228592,0.05063039128374922,False,True,0.28346056273687403,0.007989978032191616,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,4,4,0.3250289648444567,-0.40059209588951433,0.5158661214666194,0.8109076328193159,0.025792988695490515,0.34273709483793513,-0.15917833512848123,0.24206235096076228,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,5,5,0.3693056298275026,-0.07966752013238093,0.37780095551272985,0.8224984777269874,0.053667507218766675,0.37716689493249855,-0.0059027646814770246,0.07418246852041718,False,True,0.3693056298275026,-0.07966752013238093,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,6,6,0.2928832386385452,-0.3137752644927667,0.4292266395308063,0.8369087485030571,0.045617422451723066,0.27687470825667926,-0.10952930614338843,0.20487236159873565,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,7,7,0.17702678177061987,-0.020102657903816545,0.17816452598331842,0.6949274538295752,0.23614396587718445,0.1801772973997962,-0.01747195165075391,0.004104432253014692,False,True,0.17702678177061987,-0.020102657903816545,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,8,8,0.40280517778927544,-0.03985537228405569,0.4047721111363164,0.712644907259354,0.048788840625120344,0.39136590086376843,-0.02445058618998792,0.019187612962075835,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,9,9,0.44979689486050906,0.005067814699173394,0.44982544322434787,0.8147771565135645,0.0207634534861314,0.46676555767464867,0.11691645490846866,0.11312848374467126,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,10,10,0.4414802926245034,-0.010007542793187467,0.4415937043126573,0.8228027369811387,0.022813716082203173,0.46011396011396016,-0.024871144563527767,0.02383569217989907,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,11,11,0.3753680192660632,0.1369957779940909,0.39958602712799385,0.748446692731257,0.06892823750219534,0.5359265365591811,-0.07521903269463634,0.26610930714842873,False,False,0.0,0.0,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,12,12,-0.16764515545465142,0.14628222286781625,0.2224935659172276,0.7390856425486152,0.2042887529584818,-0.2556135283704462,0.1888942627410677,0.09774569338652167,False,True,-0.16764515545465142,0.14628222286781625,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,13,13,-0.1627449526384286,0.16887507017948175,0.23453082726458213,0.8449086258279142,0.24468745471696163,-0.16242621890413173,0.14522731859197974,0.02364989949952394,False,True,-0.1627449526384286,0.16887507017948175,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,14,14,-0.08740585229818064,0.10153003563861364,0.1339706354122034,0.8635942163175828,0.28228259357675245,-0.1362903674059252,0.12695817372076368,0.05510250469483394,False,True,-0.08740585229818064,0.10153003563861364,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,15,15,-0.14218386640893485,0.21624411125077342,0.25880063276126414,0.8699380676001293,0.15628286035937944,-0.13095169221868672,0.1706377229881175,0.04696918550926976,False,True,-0.14218386640893485,0.21624411125077342,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,16,16,-0.13536120333076151,0.15790381322900968,0.2079814164761211,0.8331150900877307,0.25163080971129625,-0.15381986747095358,0.15855755452953346,0.018470237127022032,False,True,-0.13536120333076151,0.15790381322900968,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,17,17,-0.176524384567351,0.14855652277321402,0.23071605666999098,0.8545708016000662,0.1786542151096464,-0.23662551440329224,0.15611399691141375,0.06057442713642634,False,True,-0.176524384567351,0.14855652277321402,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,18,18,-0.16530148917868215,0.25244114095829173,0.30174676795785915,0.8336288602304452,0.1653700654533049,-0.2011697120708748,0.25778874629812437,0.03626467008418276,False,True,-0.16530148917868215,0.25244114095829173,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
fr,19,19,-0.17052564075886917,0.23378490512933403,0.28936892718907226,0.8153417266484014,0.167681540893589,-0.18795777241294653,0.2381170018281536,0.017962357189773546,False,True,-0.17052564075886917,0.23378490512933403,scharr_zncc_q3x3+census5_hamming/v1,cb78f0e00507d26a
