split,sample_id,scene_id,dy_lr_raw,dx_lr_raw,magnitude_raw,peak_zncc,peak_margin,secondary_dy,secondary_dx,primary_secondary_diff,boundary_hit,accepted,dy_lr_applied,dx_lr_applied,estimator_version,source_file_hash,source_pan_file_hash
rr,0,0,0.0708174310649851,0.015246089632839029,0.07243998751888682,0.9663205458554049,0.2915514455001158,0.03983930364914628,-0.009175677016169058,0.03944701591312768,False,True,0.0708174310649851,0.015246089632839029,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,1,1,0.07555210927779048,-0.04520999001522206,0.08804580860835837,0.9441326947444201,0.33134375794904947,0.05955073707199126,-0.01609334138000404,0.03322383391806651,False,True,0.07555210927779048,-0.04520999001522206,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,2,2,0.07080647816826213,0.0355393554738285,0.07922501586044477,0.9611400681238873,0.33584034163962706,0.06522871278534847,-0.004004470106164994,0.039935267723752374,False,True,0.07080647816826213,0.0355393554738285,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,3,3,0.0903081495569362,-0.025019711357716627,0.09370991320464132,0.9865740078087654,0.14951699911088412,0.056346140814528704,-0.012522790519144067,0.03618827252391183,False,True,0.0903081495569362,-0.025019711357716627,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,4,4,0.05136090000073085,-0.043978096317293956,0.06761667697083508,0.971987222390794,0.2358478883356081,0.04179821551132465,-0.014194994396712764,0.03128063449893012,False,True,0.05136090000073085,-0.043978096317293956,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,5,5,0.07335878765271571,-0.013608491178329175,0.07461033948473159,0.9693483064421332,0.27172552886017487,0.051561579257513285,0.00805545147995505,0.030731819102118085,False,True,0.07335878765271571,-0.013608491178329175,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,6,6,0.04627917143899641,-0.014576581712134285,0.04852049508703048,0.931389686173517,0.20583578950017045,0.062089116143170184,-0.010303843573277072,0.01637713780708575,False,True,0.04627917143899641,-0.014576581712134285,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,7,7,0.060246625968236385,-0.03116333685925795,0.06782926731699349,0.9467601328245905,0.2812789630167227,0.06699928724162509,0.010853104492680418,0.04255560806937201,False,True,0.060246625968236385,-0.03116333685925795,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,8,8,0.02857232633074294,0.0014127646933292724,0.0286072322329369,0.9454164918785548,0.2999768418346417,0.031143052703627695,-0.0031747412368444065,0.005258692303569765,False,True,0.02857232633074294,0.0014127646933292724,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,9,9,0.0414770325647461,-0.018800821694228458,0.0455391603650658,0.9604181298598166,0.4245985829474559,0.03523884103367267,-0.009229010127409322,0.011425174407817542,False,True,0.0414770325647461,-0.018800821694228458,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,10,10,0.06313402135006256,-0.0432658151880673,0.07653649727886787,0.9751886088326925,0.30636581294129583,0.07255386516333309,-0.015364639688379133,0.029448413399210664,False,True,0.06313402135006256,-0.0432658151880673,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,11,11,0.04496546138605906,-0.004912856470215902,0.04523305070806202,0.9703122985684567,0.321739660209742,0.07639484978540777,-0.00021929824561402685,0.03177791597894429,False,True,0.04496546138605906,-0.004912856470215902,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,12,12,0.08717525555758486,0.09391832035801191,0.12814123489494078,0.9859957348580642,0.13797842837825092,0.1061381074168798,0.0168622790075769,0.0793550455814721,False,True,0.08717525555758486,0.09391832035801191,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,13,13,0.10345878640170221,-0.04858299283791486,0.11429797757091736,0.9850172243081463,0.10145324364232122,0.06578695735322239,-0.006945906125026271,0.05614992158315532,False,True,0.10345878640170221,-0.04858299283791486,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,14,14,-0.03411789597142476,0.049030639503473326,0.05973302633917455,0.9767207313560886,0.4014630124786318,-0.038779998706255245,0.027650391151874797,0.02188264658322081,False,True,-0.03411789597142476,0.049030639503473326,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,15,15,0.000737312524307132,-0.011789105306204861,0.011812139250757577,0.9824584862692731,0.4398621429797174,-0.01748950629622224,0.010747259088286195,0.028984558724218793,False,True,0.000737312524307132,-0.011789105306204861,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,16,16,-0.009490713762910252,0.016769265052397092,0.01926867660549215,0.9809247097606255,0.4905584693730653,-0.017009997986982515,0.024668150080564694,0.010905595808143282,False,True,-0.009490713762910252,0.016769265052397092,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
rr,17,17,-0.007679371315899455,0.03111496804534635,0.03204861900722688,0.9774071671698104,0.5230027178465313,-0.017659174895498904,0.025974478767171044,0.011225912413092367,False,True,-0.007679371315899455,0.03111496804534635,scharr_zncc_q3x3+census5_hamming/v1,4c811fd96b0046d7,509a4a346601c201
